trader,round,day,ASH_COATED_OSMIUM,INTARIAN_PEPPER_ROOT,total
round1_variant_pepper_take3,1,-2,11473,72321,83794
round1_variant_pepper_take3,1,-1,16155,76974,93129
round1_variant_pepper_take3,1,0,14505,78700,93205
round1_variant_pepper_take3,1,TOTAL,42133,227995,270128
round1_variant_pepper_edge2,1,-2,11473,24797,36270
round1_variant_pepper_edge2,1,-1,16155,64840,80995
round1_variant_pepper_edge2,1,0,14505,77344,91849
round1_variant_pepper_edge2,1,TOTAL,42133,166981,209114
round1_variant_tight_plus_make,1,-2,14359,74112,88471
round1_variant_tight_plus_make,1,-1,15930,78678,94608
round1_variant_tight_plus_make,1,0,14622,79013,93635
round1_variant_tight_plus_make,1,TOTAL,44911,231803,276714
