run_id,mean,median,std,score_std_100,score_std_100_sims,mean_ci95_100_sims,p_loss,p05,p01,worst,best,score_p05_10,score_p05_25,score,score_aggressive,score_balanced,score_safe,score_mean_only,positions,AC,AC_45_KO,AC_40_BP,AC_50_CO,AC_50_C_2,AC_50_P_2,AC_35_P,AC_40_P,AC_45_P,AC_50_P,AC_50_C,AC_60_C
1,-3.0758727478161085,54.62323565481793,1324.0453322839812,132.40453322839812,132.40453322839812,264.80906645679624,0.47775,-2244.702056930663,-4956.755014276887,-26082.958330751262,1435.0,-227.5460784408824,-564.2513869804818,-405.98344790161457,-148.4121089014488,-405.98344790161457,-696.6559202088799,-3.0758727478161085,"{""AC_40_BP"": -50, ""AC_45_KO"": -500, ""AC_50_CO"": -50}",0,-500,-50,-50,0,0,0,0,0,0,0,0
2,21.785731923742787,60.774811650117044,1278.0180112838398,127.80180112838397,127.80180112838397,255.60360225676794,0.4764,-1815.0156609190094,-5031.755014276887,-26157.958330751262,1360.0,-159.71583416815815,-431.96818330600956,-314.3675177783006,-100.91550140430368,-314.3675177783006,-559.7699844343936,21.785731923742787,"{""AC_40_BP"": -50, ""AC_50_CO"": -50}",0,0,-50,-50,0,0,0,0,0,0,0,0
3,34.14733659530168,-26.725188349882956,1442.2590623422836,144.22590623422838,144.22590623422838,288.45181246845675,0.5102,-1902.5156609190094,-5119.255014276887,-26245.458330751262,5765.181874762745,-156.10422949659926,-441.48157863445067,-323.34296565966395,-97.03492300920588,-323.34296565966395,-585.7074848686791,34.14733659530168,"{""AC_40_BP"": -50, ""AC_45_KO"": 500, ""AC_50_CO"": -50}",0,500,-50,-50,0,0,0,0,0,0,0,0
4,-15.175872747816111,183.44822305648546,1295.245136593042,129.5245136593042,129.5245136593042,259.0490273186084,0.41635,-2390.9386591302095,-5206.755014276887,-26332.958330751262,1185.0,-254.26973866083708,-612.9105375303685,-438.5789284469996,-167.10393411915265,-438.5789284469996,-742.4350511896728,-15.175872747816111,"{""AC_45_KO"": -500, ""AC_50_CO"": -50}",0,-500,0,-50,0,0,0,0,0,0,0,0
5,9.685731923742784,195.9167800831744,1254.0247764968617,125.40247764968618,125.40247764968618,250.80495529937235,0.41525,-2065.0156609190094,-5281.755014276887,-26407.958330751262,1110.0,-196.81583416815815,-506.5681833060096,-362.7678560389517,-124.91567053462924,-362.7678560389517,-631.9706609556957,9.685731923742784,"{""AC_50_CO"": -50}",0,0,0,-50,0,0,0,0,0,0,0,0
6,22.047336595301687,108.41678008317439,1426.1989646566572,142.6198964656657,142.6198964656657,285.2397929313314,0.4543,-2152.5156609190094,-5369.255014276887,-26495.458330751262,6015.181874762745,-193.20422949659925,-516.0815786344507,-372.13996077538263,-121.23342056706521,-372.13996077538263,-658.7014751001163,22.047336595301687,"{""AC_45_KO"": 500, ""AC_50_CO"": -50}",0,500,0,-50,0,0,0,0,0,0,0,0
7,-32.2758727478161,295.00694044130927,1314.1274922140763,131.41274922140764,131.41274922140764,262.8254984428153,0.36475,-2528.704880625431,-5461.755014276887,-26587.958330751262,1430.0,-285.1463608103592,-664.4520929041739,-477.2879794523345,-191.56430408443958,-477.2879794523345,-795.8648421255816,-32.2758727478161,"{""AC_40_BP"": 50, ""AC_45_KO"": -500, ""AC_50_CO"": -50}",0,-500,50,-50,0,0,0,0,0,0,0,0
8,-7.414268076257201,310.8284953021852,1279.2706605601911,127.92706605601911,127.92706605601911,255.85413211203823,0.35875,-2320.0156609190094,-5536.755014276887,-26662.958330751262,1355.0,-239.41583416815814,-587.4181833060095,-419.3801502421182,-155.39681763621246,-419.3801502421182,-715.3452493620287,-7.414268076257201,"{""AC_40_BP"": 50, ""AC_50_CO"": -50}",0,0,50,-50,0,0,0,0,0,0,0,0
9,4.947336595301699,223.32849530218522,1453.5071209550363,145.35071209550364,145.35071209550364,290.7014241910073,0.3969,-2407.5156609190094,-5624.255014276887,-26750.458330751262,6260.181874762745,-235.80422949659925,-596.9315786344506,-428.8553685903015,-151.7661244745247,-428.8553685903015,-742.2822907299542,4.947336595301699,"{""AC_40_BP"": 50, ""AC_45_KO"": 500, ""AC_50_CO"": -50}",0,500,50,-50,0,0,0,0,0,0,0,0
10,-12.761604671558894,-175.0,600.2594074539724,60.025940745397236,60.025940745397236,120.05188149079447,0.5034,-175.0,-3531.3903616771668,-5167.681874762745,325.0,-30.261604671558892,-56.51160467155889,-69.02457504425752,-36.5180898579082,-69.02457504425752,-116.53754541695614,-12.761604671558894,"{""AC_40_BP"": -50, ""AC_45_KO"": -500}",0,-500,-50,0,0,0,0,0,0,0,0,0
11,12.1,250.0,249.70700831174128,24.970700831174128,24.970700831174128,49.941401662348255,0.4758,-250.0,-250.0,-250.0,250.0,-12.9,-50.4,-37.88535041558706,-6.642675207793532,-37.88535041558706,-75.37070083117413,12.1,"{""AC_40_BP"": -50}",0,0,-50,0,0,0,0,0,0,0,0,0
12,24.4616046715589,162.5,575.2764503111923,57.527645031119235,57.527645031119235,115.05529006223847,0.45855,-337.5,-337.5,-337.5,4655.181874762745,-9.288395328441101,-59.9133953284411,-54.92721784400072,-6.79530658622091,-54.92721784400072,-117.44104035956033,24.4616046715589,"{""AC_40_BP"": -50, ""AC_45_KO"": 500}",0,500,-50,0,0,0,0,0,0,0,0,0
13,-24.861604671558894,75.0,532.2345209208248,53.22345209208248,53.22345209208248,106.44690418416496,0.04795,75.0,-3281.3903616771668,-4917.681874762745,75.0,-17.361604671558894,-6.111604671558894,-40.223330717600135,-34.417467694579514,-40.223330717600135,-59.335056763641376,-24.861604671558894,"{""AC_45_KO"": -500}",0,-500,0,0,0,0,0,0,0,0,0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},0,0,0,0,0,0,0,0,0,0,0,0
