run_id,mean,median,std,score_std_100,score_std_100_sims,mean_ci95_100_sims,p_loss,p05,p01,worst,best,score_p05_10,score_p05_25,score,score_aggressive,score_balanced,score_safe,score_mean_only,positions,AC,AC_45_KO,AC_40_BP,AC_50_CO,AC_50_C_2,AC_50_P_2,AC_35_P,AC_40_P,AC_45_P,AC_50_P,AC_50_C,AC_60_C
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},0,0,0,0,0,0,0,0,0,0,0,0
15,12.361604671558897,-87.5,532.2345209208248,53.22345209208248,53.22345209208248,106.44690418416496,0.9522,-87.5,-87.5,-87.5,4905.181874762745,3.611604671558897,-9.513395328441103,-27.375121374482344,-5.319258351461723,-27.375121374482344,-62.73684742052359,12.361604671558897,"{""AC_45_KO"": 500}",0,500,0,0,0,0,0,0,0,0,0,0
11,12.1,250.0,249.70700831174128,24.970700831174128,24.970700831174128,49.941401662348255,0.4758,-250.0,-250.0,-250.0,250.0,-12.9,-50.4,-37.88535041558706,-6.642675207793532,-37.88535041558706,-75.37070083117413,12.1,"{""AC_40_BP"": -50}",0,0,-50,0,0,0,0,0,0,0,0,0
13,-24.861604671558894,75.0,532.2345209208248,53.22345209208248,53.22345209208248,106.44690418416496,0.04795,75.0,-3281.3903616771668,-4917.681874762745,75.0,-17.361604671558894,-6.111604671558894,-40.223330717600135,-34.417467694579514,-40.223330717600135,-59.335056763641376,-24.861604671558894,"{""AC_45_KO"": -500}",0,-500,0,0,0,0,0,0,0,0,0,0
12,24.4616046715589,162.5,575.2764503111923,57.527645031119235,57.527645031119235,115.05529006223847,0.45855,-337.5,-337.5,-337.5,4655.181874762745,-9.288395328441101,-59.9133953284411,-54.92721784400072,-6.79530658622091,-54.92721784400072,-117.44104035956033,24.4616046715589,"{""AC_40_BP"": -50, ""AC_45_KO"": 500}",0,500,-50,0,0,0,0,0,0,0,0,0
17,-17.099999999999977,-254.99999999999997,249.70700831174128,24.970700831174128,24.970700831174128,49.941401662348255,0.5242,-254.99999999999997,-254.99999999999997,-254.99999999999997,245.00000000000003,-42.59999999999998,-80.84999999999997,-67.83535041558703,-36.092675207793505,-67.83535041558703,-105.8207008311741,-17.099999999999977,"{""AC_40_BP"": 50}",0,0,50,0,0,0,0,0,0,0,0,0
10,-12.761604671558894,-175.0,600.2594074539724,60.025940745397236,60.025940745397236,120.05188149079447,0.5034,-175.0,-3531.3903616771668,-5167.681874762745,325.0,-30.261604671558892,-56.51160467155889,-69.02457504425752,-36.5180898579082,-69.02457504425752,-116.53754541695614,-12.761604671558894,"{""AC_40_BP"": -50, ""AC_45_KO"": -500}",0,-500,-50,0,0,0,0,0,0,0,0,0
18,-4.738395328441096,157.50000000000003,600.2594074539725,60.02594074539725,60.02594074539725,120.0518814907945,0.49665,-342.5,-342.5,-342.5,5150.181874762745,-38.988395328441094,-90.3633953284411,-86.12636570113972,-36.86988051479041,-86.12636570113972,-150.38933607383836,-4.738395328441096,"{""AC_40_BP"": 50, ""AC_45_KO"": 500}",0,500,50,0,0,0,0,0,0,0,0,0
16,-41.96160467155889,-179.99999999999997,575.2764503111922,57.52764503111922,57.52764503111922,115.05529006223844,0.54145,-179.99999999999997,-3036.3903616771668,-4672.681874762745,320.0,-59.96160467155889,-86.96160467155889,-97.7254271871185,-65.3435159293387,-97.7254271871185,-144.4892497026781,-41.96160467155889,"{""AC_40_BP"": 50, ""AC_45_KO"": -500}",0,-500,50,0,0,0,0,0,0,0,0,0
20,-2.5857319237428307,-320.8284953021852,1279.2706605601911,127.92706605601911,127.92706605601911,255.85413211203823,0.6456,-865.0,-1365.0,-1365.0,26652.958330751266,-89.08573192374283,-218.83573192374283,-196.29926495175238,-77.8174984377476,-196.29926495175238,-346.76279797976196,-2.5857319237428307,"{""AC_40_BP"": -50, ""AC_50_CO"": 50}",0,0,-50,50,0,0,0,0,0,0,0,0
